lat_centroid,lon_centroid,year,month,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR
42.735495988099814,-95.15113459975632,2023,4,29.58,-5.59,9.53,1.54
42.735495988099814,-95.15113459975632,2023,5,29.71,1.66,18.16,2.56
42.735495988099814,-95.15113459975632,2023,6,34.0,10.15,23.47,2.59
42.735495988099814,-95.15113459975632,2023,7,39.31,10.5,23.86,2.11
42.735495988099814,-95.15113459975632,2023,8,39.44,11.64,24.36,2.9
42.735495988099814,-95.15113459975632,2023,9,37.82,9.32,20.83,1.6
42.735495988099814,-95.15113459975632,2023,10,33.37,-5.97,11.35,3.24
42.735495988099814,-95.15113459975632,2022,4,26.87,-5.03,6.79,2.01
42.735495988099814,-95.15113459975632,2022,5,32.45,1.89,16.46,2.91
42.735495988099814,-95.15113459975632,2022,6,35.86,8.57,23.08,1.99
42.735495988099814,-95.15113459975632,2022,7,38.6,14.57,25.73,2.56
42.735495988099814,-95.15113459975632,2022,8,39.6,14.43,24.61,2.07
42.735495988099814,-95.15113459975632,2022,9,36.71,2.86,19.63,1.14
42.735495988099814,-95.15113459975632,2022,10,28.23,-6.69,10.9,0.37
42.735495988099814,-95.15113459975632,2021,4,28.21,-5.76,9.64,0.86
42.735495988099814,-95.15113459975632,2021,5,30.43,1.66,15.54,2.86
42.735495988099814,-95.15113459975632,2021,6,38.24,11.07,24.73,2.2
42.735495988099814,-95.15113459975632,2021,7,37.32,13.28,24.68,2.96
42.735495988099814,-95.15113459975632,2021,8,34.41,13.24,24.46,3.54
42.735495988099814,-95.15113459975632,2021,9,33.24,5.44,19.88,2.27
42.735495988099814,-95.15113459975632,2021,10,28.45,-0.76,12.19,3.15
